Feature / Dimension,CTGAN,CTGAN-ENN
user_lifetime,40614.79,39261.37
user_intake,203.91,315.12
user_no_outgoing_activity_in_days,5930.51,6555.88
user_account_balance_last,4407.55,3530.4
user_spendings,9514.6,9532.86
user_has_outgoing_calls,47512,47735.65
user_has_outgoing_sms,61446.96,64279.66
user_use_gprs,1029.8,981.53
user_does_reload,785.01,966.95
reloads_inactive_days,3578.39,4386.09
reloads_count,5361.95,5980.19
reloads_sum,8671.8,9057.31
calls_outgoing_count,15914.02,17931.35
calls_outgoing_spendings,8727.6,8812
calls_outgoing_duration,10416.1,10201.97
calls_outgoing_spendings_max,11849.21,12835.05
calls_outgoing_duration_max,18757.16,19433.94
calls_outgoing_inactive_days,30277.33,26933.78
calls_outgoing_to_onnet_count,896.88,1119.25
calls_outgoing_to_onnet_spendings,536.5,618.48
calls_outgoing_to_onnet_duration,636.02,732.72
calls_outgoing_to_onnet_inactive_days,50089.66,54341.42
calls_outgoing_to_offnet_count,9079.49,9090.29
calls_outgoing_to_offnet_spendings,11703.76,12579.82
calls_outgoing_to_offnet_duration,9597.95,10167.41
calls_outgoing_to_offnet_inactive_days,43201.13,44934.63
calls_outgoing_to_abroad_count,698.32,1822.95
calls_outgoing_to_abroad_spendings,713.33,794.23
calls_outgoing_to_abroad_duration,916.73,1015.46
calls_outgoing_to_abroad_inactive_days,30479.53,26487.62
sms_outgoing_count,6492.16,7372.68
sms_outgoing_spendings,1929.6,1818.41
sms_outgoing_spendings_max,4478.72,4966.42
sms_outgoing_inactive_days,99658.62,116782
sms_outgoing_to_onnet_count,1981.08,2151.63
sms_outgoing_to_onnet_spendings,2171.02,2423.5
sms_outgoing_to_onnet_inactive_days,90321.99,104535.52
sms_outgoing_to_offnet_count,1772.48,1387.13
sms_outgoing_to_offnet_spendings,4098.77,4443.33
sms_outgoing_to_offnet_inactive_days,48725.27,44170.1
sms_outgoing_to_abroad_count,1049.24,1136.67
sms_outgoing_to_abroad_spendings,905.58,986.61
sms_outgoing_to_abroad_inactive_days,61988.18,62447.54
sms_incoming_count,17181.1,18925.26
sms_incoming_spendings,430.18,473.15
sms_incoming_from_abroad_count,2986.65,3253.57
sms_incoming_from_abroad_spendings,12.77,12.18
gprs_session_count,227.7,292.07
gprs_usage,123.84,167.3
gprs_spendings,206.78,274.45
gprs_inactive_days,2176.47,1677.1
last_100_reloads_count,11051.77,11919.62
last_100_reloads_sum,9005.21,8723.71
last_100_calls_outgoing_duration,14323.18,15666.94
last_100_calls_outgoing_to_onnet_duration,1088.68,1231.31
last_100_calls_outgoing_to_offnet_duration,9649.56,9783.39
last_100_calls_outgoing_to_abroad_duration,1305.3,1416.06
last_100_sms_outgoing_count,7184.56,7878.55
last_100_sms_outgoing_to_onnet_count,2383.55,2624.23
last_100_sms_outgoing_to_offnet_count,5277.9,5902.89
last_100_sms_outgoing_to_abroad_count,818.24,906.1
last_100_gprs_usage,213.95,251
,50,12
